Judul,Penulis,Rating,Jumlah_Voter,Link_Cover,Halaman_Sumber
"Holes (Holes, #1)",Louis Sachar,4.01,1363084,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618269830i/38709._SX50_.jpg,2
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3656956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587697303i/1._SX50_.jpg,2
The Unbearable Lightness of Being,Milan Kundera,4.11,544033,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1265401884i/9717._SY75_.jpg,2
The Name of the Rose,Umberto Eco,4.14,395582,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415375471i/119073._SY75_.jpg,2
On the Road,Jack Kerouac,3.61,448254,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1658929891i/70401._SY75_.jpg,2
Where the Red Fern Grows,Wilson Rawls,4.13,440721,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518702249i/10365._SY75_.jpg,2
"The Godfather (The Godfather, #1)",Mario Puzo,4.4,464374,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394988109i/22034._SY75_.jpg,2
In Cold Blood,Truman Capote,4.09,729456,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424931136i/168642._SY75_.jpg,2
The Scarlet Letter,Nathaniel Hawthorne,3.44,919828,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404810944i/12296._SY75_.jpg,2
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.36,4154789,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722941i/6148028._SY75_.jpg,2
The Song of Achilles,Madeline Miller,4.3,1985080,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357177533i/13623848._SY75_.jpg,2
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,4.1,990793,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1462924585i/30165203._SY75_.jpg,2
The Five People You Meet in Heaven,Mitch Albom,4.01,803542,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388200541i/3431._SX50_.jpg,2
The Divine Comedy: Inferno - Purgatorio - Paradiso,Dante Alighieri,4.09,172404,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657540227i/6656._SY75_.jpg,2
Watchmen,Alan             Moore,4.39,594315,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442239711i/472331._SY75_.jpg,2
All Quiet on the Western Front,Erich Maria Remarque,4.11,520305,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632027397i/355697._SY75_.jpg,2
"The Cat in the Hat (Cat in the Hat, #1)",Dr. Seuss,4.19,586818,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468890477i/233093._SX50_.jpg,2
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett,4.25,825051,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615552073i/12067._SY75_.jpg,2
"The Little House Collection (Little House, #1-9)",Laura Ingalls Wilder,4.36,157227,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1577932823i/114345._SX50_.jpg,2
"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,4.58,240803,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559668037i/256008._SY75_.jpg,2
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,743920,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1358261334i/6339664._SY75_.jpg,2
"Peter Pan (Peter Pan, #2)",J.M. Barrie,4.03,373868,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337714526i/34268._SX50_.jpg,2
"The Titan’s Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.37,1216033,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361038385i/561456._SY75_.jpg,2
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,4.42,1217804,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518607478i/2120932._SX50_.jpg,2
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,4.19,2404303,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495278054i/7896527._SY75_.jpg,2
Love in the Time of Cholera,Gabriel García Márquez,3.94,546977,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644691354i/9712._SY75_.jpg,2
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,4.24,1366524,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602661i/28186._SX50_.jpg,2
"Insurgent (Divergent, #2)",Veronica Roth,3.96,1622855,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618525340i/11735983._SY75_.jpg,2
"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,4.63,3190792,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546406996i/17927395._SY75_.jpg,2
The Addiction Manifesto,Jerry Weaver,4.74,1264,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1626523225i/58572970._SX50_.jpg,2
A Walk to Remember,Nicholas Sparks,4.2,845008,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498755310i/35545737._SY75_.jpg,2
How the Grinch Stole Christmas!,Dr. Seuss,4.39,447776,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327958149i/113946._SX50_.jpg,2
The Thorn Birds,Colleen McCullough,4.25,364806,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1548530867i/3412._SY75_.jpg,2
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,4.55,477093,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436788488i/18335634._SY75_.jpg,3
"The Ultimate Hitchhiker’s Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,338294,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404613595i/13._SY75_.jpg,3
"The Maze Runner (The Maze Runner, #1)",James Dashner,4.05,1684961,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1375596592i/6186357._SY75_.jpg,3
Their Eyes Were Watching God,Zora Neale Hurston,3.99,386526,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1368072803i/37415._SY75_.jpg,3
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,4.33,381073,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361099049i/2802316._SY75_.jpg,3
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3656956,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627043894i/58613345._SY75_.jpg,3
The Compleat Works of Wllm Shkspr,Reduced Shakespeare Company,4.43,9821,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347579233i/1423._SX50_.jpg,3
The Importance of Being Earnest,Oscar Wilde,4.17,405690,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298438452i/92303._SY75_.jpg,3
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,511997,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398003737i/236093._SY75_.jpg,3
Atonement,Ian McEwan,3.95,563460,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320449708i/6867._SY75_.jpg,3
The Three Musketeers,Alexandre Dumas,4.1,346811,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630475503i/7190._SX50_.jpg,3
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.39,4095210,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1664458703i/32620332._SY75_.jpg,3
The Lorax,Dr. Seuss,4.35,369773,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1705520064i/7784._SX50_.jpg,3
The Diary of a Young Girl,Anne Frank,4.2,4192856,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560816565i/48855._SY75_.jpg,3
"Eat, Pray, Love",Elizabeth Gilbert,3.65,1843925,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503066414i/19501._SY75_.jpg,3
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.5,234754,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360094673i/7938275._SY75_.jpg,3
Goodnight Moon,Margaret Wise Brown,4.32,395016,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929._SX50_.jpg,3
A Midsummer Night’s Dream,William Shakespeare,3.94,578517,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327874534i/1622._SY75_.jpg,3
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,731928,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1733926500i/853510._SY75_.jpg,3
Bridge to Terabithia,Katherine Paterson,4.06,590281,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532478367i/40940121._SY75_.jpg,3
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,372059,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098960i/2282133._SY75_.jpg,3
"The Selection (The Selection, #1)",Kiera Cass,4.07,1763280,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1322103400i/10507293._SY75_.jpg,3
Heart of Darkness,Joseph Conrad,3.43,558505,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392799983i/4900._SX50_.jpg,3
Tess of the D’Urbervilles,Thomas Hardy,3.84,302651,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1633063778i/32261._SY75_.jpg,3
The Night Circus,Erin Morgenstern,4.0,1098349,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387124618i/9361589._SY75_.jpg,3
The Call of the Wild,Jack London,3.92,472558,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452291694i/1852._SY75_.jpg,3
The Prophet,Kahlil Gibran,4.23,329067,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355046521i/2547._SY75_.jpg,3
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,327006,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442530605i/5996153._SY75_.jpg,3
The Joy Luck Club,Amy Tan,3.97,709647,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304978653i/7763._SY75_.jpg,3
Alice in Wonderland,Jane Carruth,4.03,396798,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391458382i/13023._SX50_.jpg,3
The Phantom Tollbooth,Norton Juster,4.2,306855,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558858485i/378._SX50_.jpg,3
"Oh, the Places You’ll Go!",Dr. Seuss,4.37,442843,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630510695i/191139._SX50_.jpg,3
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,260736,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312497600i/1078._SY75_.jpg,3
The Neverending Story,Michael Ende,4.18,221025,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554230952i/27712._SY75_.jpg,3
Madame Bovary,Gustave Flaubert,3.71,374871,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1741368185i/2175._SY75_.jpg,3
Treasure Island,Robert Louis Stevenson,3.85,540527,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485248909i/295._SX50_.jpg,3
Oliver Twist,Charles Dickens,3.88,427809,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868529i/18254._SY75_.jpg,3
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,212910,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529610467i/40605251._SX50_.jpg,3
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,846043,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571318786i/62291._SY75_.jpg,3
The Boy in the Striped Pajamas,John Boyne,4.16,967193,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366228171i/39999._SY75_.jpg,3
Jonathan Livingston Seagull,Richard Bach,3.86,272712,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432222358i/71728._SX50_.jpg,3
Ulysses,James Joyce,3.76,137851,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1756682514i/338798._SY75_.jpg,3
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13,1061585,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529604411i/40604658._SY75_.jpg,3
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2865654,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385207843i/10818853._SX50_.jpg,3
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.98,490560,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1722944318i/6149._SY75_.jpg,3
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.29,940578,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1464201003i/7736182._SY75_.jpg,3
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.1,282799,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1760432374i/40611463._SY75_.jpg,3
A Farewell to Arms,Ernest Hemingway,3.82,353798,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1313714836i/10799._SY75_.jpg,3
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.12,1011895,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507557775i/36381037._SY75_.jpg,3
David Copperfield,Charles Dickens,4.04,258576,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461452762i/58696._SY75_.jpg,3
The Canterbury Tales,Geoffrey Chaucer,3.53,237950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1261208589i/2696._SY75_.jpg,3
A Little Princess,Frances Hodgson Burnett,4.23,324532,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868556i/3008._SY75_.jpg,3
The World According to Garp,John Irving,4.11,238844,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1447234581i/7069._SY75_.jpg,3
Thirteen Reasons Why,Jay Asher,3.84,1025011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555345043i/29844228._SY75_.jpg,3
American Psycho,Bret Easton Ellis,3.8,362324,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436934349i/28676._SY75_.jpg,3
The Iliad / The Odyssey,Homer,4.07,83872,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388181863i/1375._SX50_.jpg,3
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,168351,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442329494i/18116._SY75_.jpg,3
The Silmarillion,J.R.R. Tolkien,4.04,335732,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610045590i/7332._SX50_.jpg,3
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12,3719494,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586722918i/7260188._SY75_.jpg,3
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.28,447675,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630502935i/6294._SX50_.jpg,3
The Velveteen Rabbit,Margery Williams Bianco,4.31,273056,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347748913i/144974._SX50_.jpg,3
The Trial,Franz Kafka,3.94,395274,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320399438i/17690._SY75_.jpg,3
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.51,684878,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437733293i/37442._SY75_.jpg,3
"Shōgun (Asian Saga, #1)",James Clavell,4.41,212539,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1704385704i/52382796._SY75_.jpg,3
Schindler’s List,Thomas Keneally,4.34,165719,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1722260788i/375013._SY75_.jpg,3
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,585301,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460477747i/10025305._SY75_.jpg,3
Man's Search for Meaning,Viktor E. Frankl,4.37,877664,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535419394i/4069._SY75_.jpg,3
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,435154,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327879967i/4588._SY75_.jpg,3
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.26,588289,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1647930822i/23807._SY75_.jpg,3
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09,513344,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355932638i/37470._SY75_.jpg,3
The Green Mile,Stephen  King,4.49,363066,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373903563i/11566._SY75_.jpg,3
The Sun Also Rises,Ernest Hemingway,3.79,493962,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1509802323i/3876._SY75_.jpg,3
"Fallen (Fallen, #1)",Lauren Kate,3.72,618182,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440619649i/6487308._SY75_.jpg,3
Room,Emma Donoghue,4.08,834951,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472239721i/31685789._SX50_.jpg,3
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.36,299635,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319850978i/6527740._SX50_.jpg,3
A Confederacy of Dunces,John Kennedy Toole,3.89,298133,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562554946i/310612._SY75_.jpg,3
The Lord of the Rings,J.R.R. Tolkien,4.54,730831,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566425108i/33._SX50_.jpg,3
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,769198,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456172607i/22299763._SY75_.jpg,3
The Virgin Suicides,Jeffrey Eugenides,3.78,413162,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319032910i/10956._SY75_.jpg,3
The Screwtape Letters,C.S. Lewis,4.27,522066,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1760782828i/8130077._SY75_.jpg,3
Misery,Stephen  King,4.23,849270,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1746142586i/10614._SY75_.jpg,3
The Crucible,Arthur Miller,3.61,464226,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547467608i/17250._SX50_.jpg,3
Cat’s Cradle,Kurt Vonnegut Jr.,4.15,437023,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867150i/135479._SY75_.jpg,3
The Secret Magdalene,Ki Longfellow,4.14,4741,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1175446011i/514811._SY75_.jpg,3
The Wind in the Willows,Kenneth Grahame,4.02,240721,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1731896433i/5659._SY75_.jpg,3
A Light in the Attic,Shel Silverstein,4.37,476743,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427169918i/30118._SX50_.jpg,3
The Phantom of the Opera,Gaston Leroux,3.96,277436,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867727i/480204._SY75_.jpg,3
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32,307568,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291168967i/6479259._SY75_.jpg,3
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,1020708,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567840212i/10572._SY75_.jpg,3
Blindness,José Saramago,4.18,338467,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528481068i/40495148._SY75_.jpg,3
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3150228,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298411339i/34._SX50_.jpg,3
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.48,356712,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320418824i/561909._SY75_.jpg,3
The God of Small Things,Arundhati Roy,3.96,325425,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1767305433i/9777._SY75_.jpg,3
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07,640261,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369452302i/6752378._SY75_.jpg,3
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,669061,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659905828i/7235533._SY75_.jpg,3
The House of the Spirits,Isabel Allende,4.3,319740,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1621672028i/9328._SY75_.jpg,3
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02,424011,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410727190i/24337._SY75_.jpg,3
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.41,1244,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1643771474i/60288648._SX50_.jpg,3
Girl with a Pearl Earring,Tracy Chevalier,3.93,780995,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327197580i/2865._SY75_.jpg,3
The Wind-Up Bird Chronicle,Haruki Murakami,4.14,314889,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872639i/11275._SY75_.jpg,3
"Uglies (Uglies, #1)",Scott Westerfeld,3.84,708171,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654202671i/24770._SX50_.jpg,4
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,810669,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529026760i/39832183._SY75_.jpg,4
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,476916,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308858322i/12691._SY75_.jpg,4
Norwegian Wood,Haruki Murakami,3.99,729436,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1713542603i/11297._SY75_.jpg,4
Speak,Laurie Halse Anderson,4.05,631631,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529044298i/39280444._SY75_.jpg,4
Paper Towns,John Green,3.7,1491464,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349013610i/6442769._SX50_.jpg,4
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01,1731369,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1574535986i/26032825._SY75_.jpg,4
She’s Come Undone,Wally Lamb,3.92,363167,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543505339i/5203._SX50_.jpg,4
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,496626,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409283154i/6068551._SX50_.jpg,4
The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.84,693490,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532013572i/40874325._SY75_.jpg,4
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.06,378437,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703312483i/7745._SY75_.jpg,4
The Complete Calvin and Hobbes,Bill Watterson,4.81,42172,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1607384975i/24812._SX50_.jpg,4
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84,1223575,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310649047i/10429045._SY75_.jpg,4
The Sound and the Fury,William Faulkner,3.86,196047,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1757102364i/10975._SY75_.jpg,4
Kafka on the Shore,Haruki Murakami,4.12,548552,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429638085i/4929._SY75_.jpg,4
"Marked (House of Night, #1)",P.C. Cast,3.82,523210,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1317067002i/30183._SX50_.jpg,4
For Whom the Bell Tolls,Ernest Hemingway,3.99,318178,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492591524i/46170._SY75_.jpg,4
The Complete Sherlock Holmes,Arthur Conan Doyle,4.51,216924,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348815538i/188572._SY75_.jpg,4
Othello,William Shakespeare,3.89,436700,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1459795105i/12996._SY75_.jpg,4
The Idiot,Fyodor Dostoevsky,4.21,217471,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1657539107i/12505._SY75_.jpg,4
Island of the Blue Dolphins,Scott O'Dell,3.88,349903,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1533405446i/41044096._SX50_.jpg,4
Stranger in a Strange Land,Robert A. Heinlein,3.92,326393,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1156897088i/350._SY75_.jpg,4
"Wonder (Wonder, #1)",R.J. Palacio,4.36,1194961,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545695751i/11387515._SY75_.jpg,4
"Inkheart (Inkworld, #1)",Cornelia Funke,3.93,442904,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1538266636i/28194._SX50_.jpg,4
East of Eden,John Steinbeck,4.44,638442,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1639969375i/4406._SY75_.jpg,4
Roots: The Saga of an American Family,Alex Haley,4.45,164815,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329398936i/546018._SY75_.jpg,4
Into the Wild,Jon Krakauer,4.02,1192604,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1634587789i/1845._SY75_.jpg,4
The Things They Carried,Tim O'Brien,4.15,344921,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1424663847i/133518._SY75_.jpg,4
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,1299983,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500930947i/9969571._SY75_.jpg,4
Never Let Me Go,Kazuo Ishiguro,3.85,854246,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1353048590i/6334._SY75_.jpg,4
"Neverwhere (London Below, #1)",Neil Gaiman,4.16,561685,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348747943i/14497._SX50_.jpg,4
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.11,216853,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347515742i/43814._SY75_.jpg,4
