Rank,Universitas,Negara,Score,lat,lon
599Top 3%,Tianjin Medical University,China,73.3,39.1165863,117.1783982
600Top 3%,Ewha Womans University,South Korea,73.3,37.5643371,126.9468925
601Top 3%,University of Sherbrooke,Canada,73.3,45.5068861,-73.5787118
602Top 3%,AGH University of Science and Technology,Poland,73.3,50.0657033,19.9189587
603Top 3%,University of Iceland,Iceland,73.3,64.1401832,-21.9539633
605Top 3%,Rensselaer Polytechnic Institute,USA,73.3,42.7298969,-73.6796678
606Top 3%,University of Texas at Arlington,USA,73.2,32.7315155,-97.1171533
607Top 3%,Indian Institute of Technology Delhi,India,73.2,28.5449971,77.1891506
608Top 3%,Beijing University of Technology,China,73.2,39.8739144,116.4772024
610Top 3%,University of Nebraska Medical Center,USA,73.2,41.2550772,-95.9769529
611Top 3%,Tehran University of Medical Sciences,Iran,73.2,35.7058628,51.3941557
612Top 3%,Illinois Institute of Technology,USA,73.2,41.8361641,-87.6264723
613Top 3%,Naval Medical University,China,73.2,31.3075202,121.5230816
614Top 3%,University of St.Gallen,Switzerland,73.2,47.4300025,9.3722184
615Top 3%,National University of Defense Technology,China,73.2,28.2290273,112.9949229
616Top 3.1%,National Central University,Taiwan,73.2,24.9684403,121.1915503
617Top 3.1%,National Research Nuclear University MEPhI,Russia,73.1,55.6504513,37.6658002
618Top 3.1%,Brigham Young University,USA,73.1,40.2554083,-111.6496832
619Top 3.1%,University of Wisconsin–Milwaukee,USA,73.1,43.077639,-87.8819425
620Top 3.1%,Concordia University,Canada,73.1,45.4952441,-73.5785815
621Top 3.1%,University of Delhi,India,73.1,28.6881517,77.2148081
622Top 3.1%,Guangzhou Medical University,China,73.1,23.0443145,113.4205295
624Top 3.1%,Utah State University,USA,73.1,41.7526959,-111.808733
625Top 3.1%,Chung-Ang University,South Korea,73.1,37.5080182,126.9612686
627Top 3.1%,Middle East Technical University,Turkey,73.1,39.8755074,32.7855305
628Top 3.1%,University of Johannesburg,South Africa,73.1,-26.1849374,27.9997925
629Top 3.1%,South China Normal University,China,73.0,23.143019,113.3386042
631Top 3.1%,Jeonbuk National University,South Korea,73.0,35.8466752,127.1337209
632Top 3.1%,Catholic University of Korea,South Korea,73.0,37.5854724,127.004794
634Top 3.1%,Swarthmore College,USA,73.0,39.9029154,-75.3552419
636Top 3.1%,Hohai University,China,73.0,32.0576594,118.7550399
637Top 3.2%,Czech Technical University in Prague,Czech Republic,73.0,50.1029026,14.3946353
638Top 3.2%,Hacettepe University,Turkey,73.0,39.8674482,32.7353845
642Top 3.2%,College of William & Mary,USA,72.9,37.2690934,-76.7220509
643Top 3.2%,Konkuk University,South Korea,72.9,37.5400566,127.0702592
644Top 3.2%,Loughborough University,United Kingdom,72.9,52.763845,-1.2372582
645Top 3.2%,"St George's, University of London",United Kingdom,72.9,51.5276574,-0.103605
646Top 3.2%,South China Agricultural University,China,72.9,23.1612069,113.3481027
647Top 3.2%,University of La Laguna,Spain,72.9,14.2608963,121.0427959
648Top 3.2%,Memorial University of Newfoundland,Canada,72.9,47.5731529,-52.7356266
649Top 3.2%,University of Cantabria,Spain,72.9,43.4714973,-3.8018803
650Top 3.2%,Bielefeld University,Germany,72.9,52.0444616,8.4927162
651Top 3.2%,University of Bayreuth,Germany,72.9,49.9270796,11.5872266
653Top 3.2%,University of Málaga,Spain,72.8,36.7231245,-4.4496548
654Top 3.2%,University of New Hampshire,USA,72.8,43.1350987,-70.9462079
655Top 3.2%,China University of Mining and Technology (Xuzhou),China,72.8,34.2146056,117.1380776
657Top 3.3%,King Fahd University of Petroleum and Minerals,Saudi Arabia,72.8,26.3118224,50.1464282
658Top 3.3%,Shaanxi Normal University,China,72.8,34.1552786,108.8866313
659Top 3.3%,"Northwest University, Xi'an",China,72.8,34.2490557,108.9185869
660Top 3.3%,University of Haifa,Israel,72.8,32.7609456,35.0204641
662Top 3.3%,"China University of Geosciences, Beijing",China,72.8,39.9886573,116.3406423
663Top 3.3%,National Polytechnic Institute,Mexico,72.8,14.5875,121.0234219
664Top 3.3%,CINVESTAV,Mexico,72.7,21.0218721,-89.6268505
665Top 3.3%,Ankara University,Turkey,72.7,40.1311453,32.9512024
666Top 3.3%,Sharif University of Technology,Iran,72.7,35.7027174,51.35172
667Top 3.3%,University of Kent,United Kingdom,72.7,51.2950874,1.0673313
668Top 3.3%,University of Galway,Ireland,72.7,53.2936337,-9.0750599
669Top 3.3%,Semmelweis University,Hungary,72.7,47.4836969,19.0818525
671Top 3.3%,"University of Nevada, Reno",USA,72.7,39.5442688,-119.8163105
672Top 3.3%,Army Medical University,China,72.7,31.3075202,121.5230816
673Top 3.3%,ShanghaiTech University,China,72.7,31.1794305,121.5902345
674Top 3.3%,Tilburg University,Netherlands,72.7,51.5630609,5.0435985
675Top 3.3%,Hong Kong Baptist University,China,72.7,22.337988,114.1826259
676Top 3.3%,Sejong University,South Korea,72.6,37.550848,127.0746074
677Top 3.3%,Nanjing University of Posts and Telecommunications,China,72.6,32.1152717,118.9259566
678Top 3.4%,Boğaziçi University,Turkey,72.6,41.0832734,29.0505009
679Top 3.4%,University of Plymouth,United Kingdom,72.6,50.3757001,-4.1393786
680Top 3.4%,Wenzhou Medical University,China,72.6,28.0120905,120.6690854
681Top 3.4%,University of Fribourg,Switzerland,72.6,46.793058,7.157106
684Top 3.4%,University of Oklahoma Health Sciences Center,USA,72.6,35.4842869,-97.498633
685Top 3.4%,Northeast Normal University,China,72.6,43.858132,125.3250134
686Top 3.4%,Taipei Medical University,Taiwan,72.6,25.0252486,121.5614621
687Top 3.4%,Istanbul University,Turkey,72.6,41.0132424,28.9637609
688Top 3.4%,Beijing University of Posts and Telecommunications,China,72.6,39.960227,116.3519331
689Top 3.4%,Yokohama City University,Japan,72.5,35.4336651,139.62511
690Top 3.4%,University of Maine,USA,72.5,44.9015188,-68.6617222
691Top 3.4%,University of Wyoming,USA,72.5,41.314986,-105.5643222
692Top 3.4%,COMSATS University Islamabad,Pakistan,72.5,33.649666,73.1549168
693Top 3.4%,Shanxi University,China,72.5,37.8001306,112.5816662
694Top 3.4%,Institut national des sciences appliquées de Lyon,France,72.5,45.7830905,4.8759894
695Top 3.4%,Sciences Po,France,72.5,48.8538978,2.3290212
696Top 3.4%,Rio de Janeiro State University,Brazil,72.5,-22.9111654,-43.2357832
697Top 3.4%,University of North Texas,USA,72.5,33.2098926,-97.1514762
699Top 3.5%,Tokyo Medical and Dental University,Japan,72.5,35.7015151,139.7642375
700Top 3.5%,Heriot-Watt University,United Kingdom,72.5,55.9102959,-3.3234475
701Top 3.5%,Binghamton University,USA,72.4,42.0877998,-75.9706607
702Top 3.5%,Haverford College,USA,72.4,40.0071506,-75.3069423
703Top 3.5%,Harbin Medical University,China,72.4,46.5962562,125.1614156
704Top 3.5%,Victoria University of Wellington,New Zealand,72.4,-36.8482415,174.7677559
705Top 3.5%,Guangxi University,China,72.4,22.8472107,108.291356
706Top 3.5%,Chungnam National University,South Korea,72.4,36.3699984,127.3448268
707Top 3.5%,Cold Spring Harbor Laboratory,USA,72.4,40.8623522,-73.4699926
708Top 3.5%,University of Szeged,Hungary,72.4,46.2500455,20.1465034
709Top 3.5%,Shinshu University,Japan,72.4,36.7117308,138.4937932
710Top 3.5%,University of Poitiers,France,72.4,46.562786,0.3886134
711Top 3.5%,Massey University,New Zealand,72.4,-36.7327011,174.7026709
712Top 3.5%,Roma Tre University,Italy,72.4,41.8619504,12.4796114
713Top 3.5%,Loyola University Chicago,USA,72.4,41.9991492,-87.6573094
714Top 3.5%,American University of Beirut,Lebanon,72.3,33.9000264,35.4823838
715Top 3.5%,Inha University,South Korea,72.3,37.4494431,126.6534446
716Top 3.5%,University of Jinan,China,72.3,23.1538977,113.3263353
718Top 3.5%,Federal University of Santa Catarina,Brazil,72.3,-27.6034133,-48.5224425
720Top 3.6%,University of Missouri-Kansas City,USA,72.3,39.0342326,-94.5780133
721Top 3.6%,Indian Institute of Technology Kharagpur,India,72.3,22.3146519,87.3099912
722Top 3.6%,Shandong University of Science and Technology,China,72.3,36.0014644,120.1163655
723Top 3.6%,Warsaw University of Technology,Poland,72.3,52.2216394,21.007377
724Top 3.6%,University of Salamanca,Spain,72.3,40.9621455,-5.6690588
725Top 3.6%,Central Party School of the Communist Party of China,China,72.3,40.005209,116.2722147
726Top 3.6%,Mississippi State University,USA,72.3,33.4386876,-88.7943232
727Top 3.6%,"China Medical University, PRC",China,72.2,41.7899463,123.4063953
728Top 3.6%,Vilnius University,Lithuania,72.2,54.682847,25.2878406
729Top 3.6%,Otto von Guericke University Magdeburg,Germany,72.2,52.1027384,11.6154432
730Top 3.6%,Kanazawa University,Japan,72.2,36.6575095,136.6473669
731Top 3.6%,University of Calabria,Italy,72.2,32.8656594,-117.2043944
732Top 3.6%,University of Massachusetts Boston,USA,72.2,42.314068,-71.0387132
733Top 3.6%,Montana State University - Bozeman,USA,72.2,45.6639222,-111.079277
734Top 3.6%,Air Force Medical University,China,72.2,34.2747143,108.9760541
735Top 3.6%,Istanbul Technical University,Turkey,72.2,41.1045571,29.0263441
736Top 3.6%,University of Ioannina,Greece,72.2,39.6156591,20.8412647
737Top 3.6%,Yeungnam University,South Korea,72.2,35.8366301,128.753512
738Top 3.6%,National Chung Hsing University,Taiwan,72.2,24.120844,120.6757137
739Top 3.6%,Chongqing Medical University,China,72.2,29.5353583,106.5049974
740Top 3.7%,Beijing Forestry University,China,72.1,40.002875,116.3354804
741Top 3.7%,Henan University,China,72.1,34.8194726,113.8143648
742Top 3.7%,Saarland University,Germany,72.1,49.2542421,7.0415117
744Top 3.7%,Isfahan University of Technology,Iran,72.1,32.7186844,51.5341465
745Top 3.7%,Anhui University,China,72.1,31.8471874,117.2501336
746Top 3.7%,Tokyo Metropolitan University,Japan,72.1,35.6200371,139.3828668
747Top 3.7%,"Birkbeck, University of London",United Kingdom,72.1,51.5218449,-0.1302155
748Top 3.7%,Toulouse INP,France,72.1,43.5533611,1.5011523
749Top 3.7%,University of Murcia,Spain,72.1,37.9321598,-1.1625399
750Top 3.7%,Ningbo University,China,72.1,29.9091815,121.6334863
751Top 3.7%,Ajou University,South Korea,72.1,37.2830024,127.0453782
753Top 3.7%,University of Debrecen,Hungary,72.0,47.55395,21.6215676
755Top 3.7%,University of Castilla–La Mancha,Spain,72.0,38.9902402,-3.9203646
756Top 3.7%,Kumamoto University,Japan,72.0,32.8164178,130.7270397
758Top 3.7%,University of Arkansas for Medical Sciences,USA,72.0,34.748041,-92.3223096
759Top 3.7%,Panjab University,India,72.0,30.7602415,76.7664916
760Top 3.8%,University of Cyprus,Cyprus,72.0,35.1439124,33.413932
762Top 3.8%,Kangwon National University,South Korea,72.0,37.8672582,127.7447487
763Top 3.8%,Bangor University,United Kingdom,72.0,53.2300234,-4.130082
764Top 3.8%,Augusta University,USA,72.0,33.4694103,-81.9884196
765Top 3.8%,Harbin Engineering University,China,72.0,45.7748897,126.6764826
766Top 3.8%,Federal University of Paraná,Brazil,71.9,-26.1962819,-52.6899636
767Top 3.8%,University of Essex,United Kingdom,71.9,51.8773639,0.9498751
768Top 3.8%,Niigata University,Japan,71.9,37.8688823,138.9419567
769Top 3.8%,Örebro University,Sweden,71.9,59.2539921,15.2487679
770Top 3.8%,Tarbiat Modares University,Iran,71.9,35.7214564,51.381677
771Top 3.8%,University of Crete,Greece,71.9,35.3072756,25.0824949
772Top 3.8%,Ain Shams University,Egypt,71.9,30.0754657,31.2904114
773Top 3.8%,Kitasato University,Japan,71.9,35.5391101,139.3937935
775Top 3.8%,National University of Colombia,Colombia,71.9,4.6387426,-74.0852375
776Top 3.8%,Kaohsiung Medical University,Taiwan,71.9,22.6477903,120.3102392
778Top 3.8%,Shandong Normal University,China,71.9,36.6514701,117.0351431
779Top 3.8%,University of Alaska Fairbanks,USA,71.9,64.8671599,-147.8507674
781Top 3.9%,Tokyo University of Science,Japan,71.8,35.9183873,139.9084751
783Top 3.9%,University of Idaho,USA,71.8,46.7237978,-117.020439
785Top 3.9%,"Putra University, Malaysia",Malaysia,71.8,2.9918365,101.720677
786Top 3.9%,Amirkabir University of Technology,Iran,71.8,35.7043042,51.4093392
788Top 3.9%,Courtauld Institute of Art,United Kingdom,71.8,51.5116948,-0.117442
789Top 3.9%,Tomsk State University,Russia,71.8,56.4695177,84.945886
790Top 3.9%,Kent State University,USA,71.8,41.1442325,-81.3398321
792Top 3.9%,"University of Maryland, Baltimore County",USA,71.8,39.252377,-76.7089181
793Top 3.9%,Norwegian University of Life Sciences,Norway,71.8,59.667874,10.7617344
794Top 3.9%,"University of Science, Malaysia",Malaysia,71.7,5.3574323,100.3035504
797Top 3.9%,Northern Arizona University,USA,71.7,35.1830867,-111.654961
798Top 3.9%,University of Hohenheim,Germany,71.7,48.7133801,9.212073
800Top 3.9%,China University of Petroleum-Beijing,China,71.7,40.2182737,116.2413961
801Top 4%,University of Vigo,Spain,71.7,42.1697395,-8.6833125
803Top 4%,University of Rhode Island,USA,71.7,41.4875095,-71.5343138
804Top 4%,Carl von Ossietzky University of Oldenburg,Germany,71.7,53.1468345,8.1815753
805Top 4%,National Taiwan University of Science and Technology,Taiwan,71.7,25.013411,121.5416198
806Top 4%,University of Greifswald,Germany,71.7,54.0894347,13.4048743
808Top 4%,Nanjing Forestry University,China,71.6,32.0810664,118.811774
809Top 4%,Anhui Medical University,China,71.6,31.8512134,117.2576393
810Top 4%,University of Alcalá,Spain,71.6,32.7726302,-117.1891347
811Top 4%,Guangzhou University,China,71.6,23.0446501,113.3631548
813Top 4%,Hangzhou Normal University,China,71.6,30.2954743,120.0137379
814Top 4%,SUNY Downstate Medical Center,USA,71.6,40.6542908,-73.9455898
816Top 4%,Qingdao University of Science and Technology,China,71.6,36.1212188,120.478556
817Top 4%,Gyeongsang National University,South Korea,71.6,35.155469,128.0962563
818Top 4%,University of Montana,USA,71.6,46.8541841,-113.9655283
819Top 4%,National Centre for Nuclear Research,Poland,71.6,52.1235698,21.3403476
820Top 4%,Gwangju Institute of Science and Technology,South Korea,71.6,35.2281557,126.8421662
821Top 4%,"Open University, UK",United Kingdom,71.6,52.0245378,-0.7092748
822Top 4.1%,Northumbria University,United Kingdom,71.5,54.9787691,-1.6096401
823Top 4.1%,Indian Institute of Technology Kanpur,India,71.5,26.513188,80.2364843
824Top 4.1%,University of Patras,Greece,71.5,38.2869279,21.7851062
825Top 4.1%,Dongguk University,South Korea,71.5,37.562895,127.312223
826Top 4.1%,Liverpool John Moores University,United Kingdom,71.5,53.4037508,-2.9726752
827Top 4.1%,China Pharmaceutical University,China,71.5,32.0750555,118.7740619
828Top 4.1%,University of Shanghai for Science and Technology,China,71.5,31.2950161,121.5506739
829Top 4.1%,"University of Nevada, Las Vegas",USA,71.5,36.1079411,-115.1439051
830Top 4.1%,University of Luxembourg,Luxembourg,71.5,49.5036259,5.9487155
831Top 4.1%,Ohio University,USA,71.5,39.3241782,-82.1015648
835Top 4.1%,Toronto Metropolitan University,Canada,71.5,43.6585342,-79.3784674
836Top 4.1%,University of Concepción,Chile,71.5,15.4584197,120.9478599
837Top 4.1%,University of Split,Croatia,71.4,43.5117478,16.4676015
838Top 4.1%,Cranfield University,United Kingdom,71.4,52.0701329,-0.6287023
839Top 4.1%,Fujian Agriculture and Forestry University,China,71.4,26.0879215,119.2422184
840Top 4.1%,"University of Technology, Malaysia",Malaysia,71.4,3.0559218,101.699855
841Top 4.1%,"University of California, Merced",USA,71.4,37.365182,-120.4225275
842Top 4.2%,Hasselt University,Belgium,71.4,50.9255585,5.3910826
844Top 4.2%,London Business School,United Kingdom,71.4,51.5263869,-0.1611522
846Top 4.2%,Carlos III University of Madrid,Spain,71.4,40.5431379,-4.0129852
847Top 4.2%,National Sun Yat-sen University,Taiwan,71.4,22.6280059,120.2662241
848Top 4.2%,Murdoch University,Australia,71.4,-32.0674158,115.8346086
850Top 4.2%,Yerevan Physics Institute,Armenia,71.4,40.2068401,44.4855978
851Top 4.2%,Kunming University of Science and Technology,China,71.4,24.8552956,102.8552716
852Top 4.2%,Miami University,USA,71.3,39.5094198,-84.7311546
853Top 4.2%,Shandong Agricultural University,China,71.3,36.1635648,117.1498577
854Top 4.2%,University of Alicante,Spain,71.3,38.2761926,-0.6932286
855Top 4.2%,Graz University of Technology,Austria,71.3,47.0582807,15.4602462
856Top 4.2%,Henan Normal University,China,71.3,35.3294278,113.9106158
857Top 4.2%,University of Brasília,Brazil,71.3,-22.862661,-43.2230021
858Top 4.2%,Juntendo University,Japan,71.3,35.7022473,139.7602936
860Top 4.2%,Indian Institute of Technology Roorkee,India,71.3,29.8661656,77.8957348
861Top 4.2%,"City, University of London",United Kingdom,71.3,51.5276574,-0.103605
862Top 4.2%,Addis Ababa University,Ethiopia,71.3,9.0495421,38.758428
864Top 4.3%,Peter the Great St. Petersburg Polytechnic University,Russia,71.3,60.00596,30.3766538
867Top 4.3%,Zhejiang Normal University,China,71.2,29.136745,119.6376144
868Top 4.3%,University of Brighton,United Kingdom,71.2,50.8278078,-0.1341983
869Top 4.3%,University of Toledo,USA,71.2,41.6582432,-83.6147873
870Top 4.3%,University of Wrocław,Poland,71.2,51.108946,17.058993
871Top 4.3%,Qatar University,Qatar,71.2,25.3719714,51.4879579
872Top 4.3%,Polytechnic University of Bari,Italy,71.2,41.1089093,16.8785783
874Top 4.3%,Belarusian State University,Belarus,71.2,53.8380675,27.4761517
875Top 4.3%,Jawaharlal Nehru University,India,71.2,28.5401668,77.1645601
876Top 4.3%,Uniformed Services University of the Health Sciences,USA,71.2,39.0018688,-77.0863719
877Top 4.3%,Yanshan University,China,71.2,25.0963977,110.284771
878Top 4.3%,Federal University of Pernambuco,Brazil,71.2,-8.0524236,-34.9510615
879Top 4.3%,Old Dominion University,USA,71.2,36.8862699,-76.3097248
880Top 4.3%,Hunan Normal University,China,71.2,28.1909652,112.9450813
881Top 4.3%,Northern Illinois University,USA,71.2,41.9370934,-88.7826784
882Top 4.3%,Nagasaki University,Japan,71.1,32.7861999,129.865345
883Top 4.4%,Kindai University,Japan,71.1,34.6517298,135.5913154
884Top 4.4%,University of Insubria,Italy,71.1,45.8142652,8.8273962
885Top 4.4%,University of Orléans,France,71.1,33.2107144,-87.5534749
886Top 4.4%,University of Portsmouth,United Kingdom,71.1,50.795245,-1.0935529
887Top 4.4%,North-West University,South Africa,71.1,-26.6882966,27.0912407
888Top 4.4%,Tokushima University,Japan,71.1,34.0788068,134.558981
889Top 4.4%,University of Denver,USA,71.1,39.6766157,-104.9623745
890Top 4.4%,University of Tours,France,71.1,48.8525504,2.3377722
891Top 4.4%,Mansoura University,Egypt,71.1,31.0407773,31.3581295
892Top 4.4%,Khalifa University,United Arab Emirates,71.1,24.4479513,54.3955267
893Top 4.4%,Banaras Hindu University,India,71.1,25.2663747,82.9904648
895Top 4.4%,Gachon University,South Korea,71.1,37.452798,127.1337775
896Top 4.4%,Medical University of Warsaw,Poland,71.1,52.2236906,20.9992714
897Top 4.4%,Sichuan Agricultural University,China,71.0,30.7094122,103.8596615
898Top 4.4%,Sorbonne Paris Nord University,France,71.0,48.956638,2.3405983
899Top 4.4%,Wroclaw Medical University,Poland,71.0,51.109739,17.0719281
900Top 4.4%,"All India Institute of Medical Sciences, New Delhi",India,71.0,28.5673145,77.2101813
901Top 4.4%,Yunnan University,China,71.0,24.8296289,102.8512583
903Top 4.4%,Hangzhou Dianzi University,China,71.0,30.3033132,120.3741385
904Top 4.5%,University of Stirling,United Kingdom,71.0,56.1451154,-3.9173938
905Top 4.5%,Fujian Medical University,China,71.0,26.0735723,119.1822803
906Top 4.5%,Aberystwyth University,United Kingdom,71.0,52.4155496,-4.0650542
908Top 4.5%,Jaume I University,Spain,71.0,39.994312,-0.0713962
909Top 4.5%,Chungbuk National University,South Korea,71.0,36.6281688,127.4538403
910Top 4.5%,Xiangtan University,China,71.0,27.8852618,112.8572449
911Top 4.5%,New Mexico State University,USA,71.0,32.2729032,-106.7434927
912Top 4.5%,University of Valladolid,Spain,70.9,10.4389315,122.8342257
913Top 4.5%,Chiang Mai University,Thailand,70.9,18.8009264,98.9521552
914Top 4.5%,Claremont McKenna College,USA,70.9,34.0999577,-117.7061792
915Top 4.5%,Gabriele d’Annunzio University,Italy,70.9,42.3679423,14.1489125
916Top 4.5%,Nantong University,China,70.9,31.9747463,120.9077926
917Top 4.5%,Inje University,South Korea,70.9,35.250061,128.9020135
918Top 4.5%,New Jersey Institute of Technology,USA,70.9,40.7421254,-74.1790316
919Top 4.5%,"University of Science and Technology, Korea",South Korea,70.9,36.0180795,129.3208556
920Top 4.5%,University of Limerick,Ireland,70.9,52.6732581,-8.5698097
921Top 4.5%,Shizuoka University,Japan,70.9,34.965771,138.429058
923Top 4.5%,Babeș-Bolyai University,Romania,70.9,46.7677836,23.5919766
924Top 4.6%,Jawaharlal Nehru Centre for Advanced Scientific Research,India,70.9,13.0683095,77.6106783
925Top 4.6%,Keele University,United Kingdom,70.9,53.0016756,-2.2706942
926Top 4.6%,Iran University of Science and Technology,Iran,70.9,35.7427943,51.5057386
927Top 4.6%,Missouri University of Science and Technology,USA,70.9,37.9532435,-91.7742667
928Top 4.6%,Wesleyan University,USA,70.8,41.5559033,-72.6559884
930Top 4.6%,Jean Monnet University,France,70.8,48.7820325,2.2855362
931Top 4.6%,Ivane Javakhishvili Tbilisi State University,Georgia,70.8,41.7170674,44.7213762
933Top 4.6%,Michigan Technological University,USA,70.8,47.1099114,-88.5511513
934Top 4.6%,Homi Bhabha National Institute,India,70.8,19.0337334,72.9255983
935Top 4.6%,Ege University,Turkey,70.8,38.4556928,27.2281857
936Top 4.6%,Federal University of Viçosa,Brazil,70.8,-19.2195512,-46.2243934
938Top 4.6%,Indian Institute of Technology Guwahati,India,70.8,26.1924787,91.6946357
939Top 4.6%,University of Seoul,South Korea,70.8,37.5830387,127.0591856
940Top 4.6%,Meijo University,Japan,70.8,35.137117,136.9681396
942Top 4.6%,Shiraz University,Iran,70.8,29.6494974,52.5122319
944Top 4.6%,Aston University,United Kingdom,70.7,52.4861905,-1.8884689
945Top 4.7%,Portland State University,USA,70.7,45.5118121,-122.686121
946Top 4.7%,Nihon University,Japan,70.7,35.6971554,139.7625818
947Top 4.7%,Budapest University of Technology and Economics,Hungary,70.7,47.4784386,19.0577145
948Top 4.7%,Federal University of Ceará,Brazil,70.7,-4.980084,-39.0564813
950Top 4.7%,Makerere University,Uganda,70.7,0.335151,32.5682342
951Top 4.7%,Macau University of Science and Technology,China,70.7,22.1526454,113.568041
952Top 4.7%,Sofia University,Bulgaria,70.7,42.6935092,23.3353169
953Top 4.7%,Mohammed V University,Morocco,70.7,34.0074369,-6.8380447
954Top 4.7%,ITMO University,Russia,70.7,59.9567751,30.308711
955Top 4.7%,Singapore University of Technology and Design,Singapore,70.7,1.3419536,103.9659229
956Top 4.7%,Edith Cowan University,Australia,70.7,-31.9192816,115.8691215
957Top 4.7%,University of Mons,Belgium,70.7,45.5027702,-73.5788624
958Top 4.7%,North Dakota State University,USA,70.7,46.897155,-96.8182654
959Top 4.7%,Capital Normal University,China,70.7,39.9288664,116.3000545
960Top 4.7%,University of Sassari,Italy,70.6,40.7240375,8.5571921
961Top 4.7%,Federal University of Pelotas,Brazil,70.6,-31.7723104,-52.3403123
962Top 4.7%,Paul Valéry University,France,70.6,43.6325304,3.8701088
963Top 4.7%,East Carolina University,USA,70.6,35.6328512,-77.4852672
964Top 4.7%,Çukurova University,Turkey,70.6,37.0500064,35.3573623
965Top 4.8%,Bucknell University,USA,70.6,40.9515356,-76.8879603
966Top 4.8%,University of Tabriz,Iran,70.6,37.9298042,46.1512104
967Top 4.8%,Fluminense Federal University,Brazil,70.6,-22.9030101,-43.1167426
968Top 4.8%,Alexandria University,Egypt,70.6,31.2104662,29.9131341
969Top 4.8%,Institut national de la recherche scientifique,Canada,70.6,46.8127373,-71.2243428
970Top 4.8%,Marmara University,Turkey,70.6,40.9872142,29.052956
971Top 4.8%,Ferdowsi University of Mashhad,Iran,70.6,36.3096482,59.5293728
972Top 4.8%,Australian Catholic University,Australia,70.6,-37.8072542,144.9778465
973Top 4.8%,Gazi University,Turkey,70.6,39.7803814,32.8096764
974Top 4.8%,Ulster University,United Kingdom,70.6,54.6038201,-5.9288914
975Top 4.8%,Oberlin College,USA,70.6,41.2957177,-82.2215696
976Top 4.8%,Tunis El Manar University,Tunisia,70.6,36.829187,10.146311
977Top 4.8%,Hallym University,South Korea,70.5,37.8861199,127.7386506
979Top 4.8%,Southern Illinois University Carbondale,USA,70.5,37.7083423,-89.2275556
980Top 4.8%,Federal University of Rio Grande do Norte,Brazil,70.5,-5.8377994,-35.2039783
981Top 4.8%,Fujian Normal University,China,70.5,25.7063713,119.3740652
982Top 4.8%,Johannes Kepler University Linz,Austria,70.5,48.3360899,14.3205799
983Top 4.8%,Shanghai Normal University,China,70.5,31.1628058,121.4116751
984Top 4.8%,Zhejiang Sci-Tech University,China,70.5,30.3154546,120.3486958
985Top 4.8%,University of Akron,USA,70.5,41.0757383,-81.5114532
986Top 4.9%,Federal University of ABC,Brazil,70.5,-23.6446564,-46.528415
987Top 4.9%,University of Memphis,USA,70.5,35.1189387,-89.9372196
988Top 4.9%,INSA Toulouse,France,70.5,43.5695982,1.4684402
989Top 4.9%,National University of Córdoba,Argentina,70.5,-33.1145141,-64.3016674
990Top 4.9%,University of Windsor,Canada,70.5,42.3051688,-83.0664558
993Top 4.9%,Shanghai University of Finance and Economics,China,70.4,31.3068662,121.4943346
995Top 4.9%,University of Extremadura,Spain,70.4,-33.4580688,-70.6634338
996Top 4.9%,Hebei University of Technology,China,70.4,39.2054298,118.585956
997Top 4.9%,Villanova University,USA,70.4,40.0367774,-75.3420233
998Top 4.9%,University of Regina,Canada,70.4,50.4152275,-104.589
999Top 4.9%,Colgate University,USA,70.4,42.8154037,-75.5395816
1000Top 4.9%,Shantou University,China,70.4,23.4163248,116.6290685
1001Top 4.9%,Tokai University,Japan,70.4,34.989534,138.513527
1002Top 4.9%,Babson College,USA,70.4,42.2949963,-71.2649172
1003Top 4.9%,Victoria University,Australia,70.4,-37.7524181,144.797936
1004Top 4.9%,University of Hyogo,Japan,70.4,34.9295623,134.4459789
1005Top 4.9%,Wrocław University of Science and Technology,Poland,70.4,51.108946,17.058993
1006Top 4.9%,University of Texas at El Paso,USA,70.4,31.7757048,-106.5062875
1007Top 5%,Guizhou University,China,70.4,26.4495922,106.654026
1009Top 5%,American University,USA,70.4,38.9377511,-77.0894676
1010Top 5%,Hubei University,China,70.3,30.579616,114.3235106
1011Top 5%,Royal College of Surgeons in Ireland,Ireland,70.3,53.3391564,-6.2626992
1013Top 5%,Federal University of Bahia,Brazil,70.3,-12.9972788,-38.5096352
1014Top 5%,University of A Coruña,Spain,70.3,42.8874537,-8.5441381
1015Top 5%,University of Antioquia,Colombia,70.3,6.2679795,-75.5687589
1017Top 5%,University of Louisiana at Lafayette,USA,70.3,30.2117256,-92.0195772
1018Top 5%,Miguel Hernández University of Elche,Spain,70.3,38.2769777,-0.6899447
1019Top 5%,Nanjing University of Chinese Medicine,China,70.3,32.1030022,118.9388674
1020Top 5%,Nicolaus Copernicus University,Poland,70.3,53.0211845,18.5688082
1021Top 5%,Chang'an University,China,70.3,34.2343825,108.952879
1023Top 5%,Auckland University of Technology,New Zealand,70.3,-36.8529871,174.76642
1024Top 5%,Ritsumeikan University,Japan,70.3,35.034404,135.726647
1025Top 5%,Hainan University,China,70.3,20.0581653,110.3227379
1026Top 5%,Tianjin University of Technology,China,70.3,39.0621921,117.1333089
1027Top 5.1%,Bilkent University,Turkey,70.2,39.8704691,32.7539193
1028Top 5.1%,Pomona College,USA,70.2,34.0974775,-117.7117275
